TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean ppb
Winter 2014-15,UHF42,403,4,Flushing - Clearview,0.6,0.8,0.7
Winter 2014-15,UHF42,404,4,Bayside - Little Neck,0.5,0.6,0.6
Winter 2014-15,UHF42,405,4,Ridgewood - Forest Hills,0.5,0.7,0.6
Winter 2014-15,UHF42,406,4,Fresh Meadows,0.5,0.6,0.6
Winter 2014-15,UHF42,407,4,Southwest Queens,0.4,0.5,0.4
Winter 2014-15,UHF42,408,4,Jamaica,0.4,0.5,0.4
Winter 2014-15,UHF42,409,4,Southeast Queens,0.3,0.5,0.4
Winter 2014-15,UHF42,410,4,Rockaways,0.3,0.3,0.3
Winter 2014-15,UHF42,501,4,Port Richmond,0.3,0.3,0.3
Winter 2014-15,UHF42,502,4,Stapleton - St. George,0.3,0.4,0.3
Winter 2014-15,UHF42,503,4,Willowbrook,0.2,0.3,0.3
Winter 2014-15,UHF42,504,4,South Beach - Tottenville,0.2,0.3,0.2
Winter 2014-15,UHF34,101,3,Kingsbridge - Riverdale,0.8,1.3,1.0
Winter 2014-15,UHF34,102,3,Northeast Bronx,1.0,1.3,1.1
Winter 2014-15,UHF34,103,3,Fordham - Bronx Pk,1.1,2.0,1.5
Winter 2014-15,UHF34,104,3,Pelham - Throgs Neck,0.8,1.2,1.0
Winter 2014-15,UHF34,201,3,Greenpoint,0.5,0.6,0.6
Winter 2014-15,UHF34,202,3,Downtown - Heights - Slope,0.4,0.5,0.5
Winter 2014-15,UHF34,203,3,Bedford Stuyvesant - Crown Heights,0.5,0.5,0.5
Winter 2014-15,UHF34,204,3,East New York,0.4,0.5,0.5
Winter 2014-15,UHF34,205,3,Sunset Park,0.4,0.5,0.4
Winter 2014-15,UHF34,206,3,Borough Park,0.4,0.5,0.5
Winter 2014-15,UHF34,207,3,East Flatbush - Flatbush,0.4,0.6,0.5
Winter 2014-15,UHF34,208,3,Canarsie - Flatlands,0.4,0.4,0.4
Winter 2014-15,UHF34,209,3,Bensonhurst - Bay Ridge,0.4,0.5,0.4
Winter 2014-15,UHF34,210,3,Coney Island - Sheepshead Bay,0.4,0.5,0.4
Winter 2014-15,UHF34,211,3,Williamsburg - Bushwick,0.6,0.6,0.6
Winter 2014-15,UHF34,301,3,Washington Heights,1.2,1.8,1.5
Winter 2014-15,UHF34,302,3,Central Harlem - Morningside Heights,0.9,1.3,1.1
Winter 2014-15,UHF34,303,3,East Harlem,0.8,1.2,1.0
Winter 2014-15,UHF34,304,3,Upper West Side,1.1,1.6,1.4
Winter 2014-15,UHF34,401,3,Long Island City - Astoria,0.6,1.0,0.8
Winter 2014-15,UHF34,402,3,West Queens,0.6,1.0,0.8
Winter 2014-15,UHF34,403,3,Flushing - Clearview,0.6,0.8,0.7
Winter 2014-15,UHF34,405,3,Ridgewood - Forest Hills,0.5,0.7,0.6
Winter 2014-15,UHF34,407,3,Southwest Queens,0.4,0.5,0.4
Winter 2014-15,UHF34,408,3,Jamaica,0.4,0.5,0.4
Winter 2014-15,UHF34,409,3,Southeast Queens,0.3,0.5,0.4
Winter 2014-15,UHF34,410,3,Rockaways,0.3,0.3,0.3
Winter 2014-15,UHF34,305307,3,Upper East Side-Gramercy,1.0,1.8,1.4
Winter 2014-15,UHF34,306308,3,Chelsea-Village  ,0.7,1.4,1.0
Winter 2014-15,UHF34,309310,3,Union Square-Lower Manhattan,0.5,1.4,0.8
Winter 2014-15,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,0.5,0.6,0.6
Winter 2014-15,UHF34,501502,3,Northern SI,0.3,0.4,0.3
Winter 2014-15,UHF34,503504,3,Southern SI,0.2,0.3,0.2
Winter 2014-15,UHF34,105106107,3,South Bronx,0.7,1.6,1.1
Winter 2014-15,Borough,1,1,Bronx,0.8,1.6,1.1
Winter 2014-15,Borough,2,1,Brooklyn,0.4,0.6,0.5
Winter 2014-15,Borough,3,1,Manhattan,0.7,1.6,1.2
Winter 2014-15,Borough,4,1,Queens,0.3,0.8,0.6
Winter 2014-15,Borough,5,1,Staten Island,0.2,0.3,0.3
Winter 2014-15,Citywide,1,0,New York City,0.3,1.1,0.6
Winter 2013-14,CD,101,6,Financial District (CD1),1.1,1.8,1.4
Winter 2013-14,CD,102,6,Greenwich Village and Soho (CD2),1.9,3.8,2.7
Winter 2013-14,CD,103,6,Lower East Side and Chinatown (CD3),1.6,3.0,2.2
Winter 2013-14,CD,104,6,Clinton and Chelsea (CD4),1.6,3.3,2.4
Winter 2013-14,CD,105,6,Midtown (CD5),2.7,4.2,3.3
Winter 2013-14,CD,106,6,Stuyvesant Town and Turtle Bay (CD6),2.4,3.7,3.0
Winter 2013-14,CD,107,6,Upper West Side (CD7),2.8,4.2,3.5
Winter 2013-14,CD,108,6,Upper East Side (CD8),2.5,5.1,3.8
Winter 2013-14,CD,109,6,Morningside Heights and Hamilton Heights (CD9),2.3,3.4,2.9
Winter 2013-14,CD,110,6,Central Harlem (CD10),2.3,3.2,2.7
Winter 2013-14,CD,111,6,East Harlem (CD11),1.9,3.0,2.4
Winter 2013-14,CD,112,6,Washington Heights and Inwood (CD12),2.5,4.1,3.4
Winter 2013-14,CD,201,6,Mott Haven and Melrose (CD1),1.7,2.2,2.0
Winter 2013-14,CD,202,6,Hunts Point and Longwood (CD2),1.6,2.2,1.8
Winter 2013-14,CD,203,6,Morrisania and Crotona (CD3),2.0,2.7,2.2
Winter 2013-14,CD,204,6,Highbridge and Concourse (CD4),2.3,3.8,3.2
Winter 2013-14,CD,205,6,Fordham and University Heights (CD5),3.2,4.4,3.8
Winter 2013-14,CD,206,6,Belmont and East Tremont (CD6),2.0,3.4,2.5
Winter 2013-14,CD,207,6,Kingsbridge Heights and Bedford (CD7),2.6,4.1,3.3
Winter 2013-14,CD,208,6,Riverdale and Fieldston (CD8),1.3,2.4,1.7
Winter 2013-14,CD,209,6,Parkchester and Soundview (CD9),1.7,2.4,2.1
Winter 2013-14,CD,210,6,Throgs Neck and Co-op City (CD10),1.5,1.8,1.6
Winter 2013-14,CD,211,6,Morris Park and Bronxdale (CD11),1.6,2.3,1.9
Winter 2013-14,CD,212,6,Williamsbridge and Baychester (CD12),1.4,2.0,1.7
Winter 2013-14,CD,301,6,Greenpoint and Williamsburg (CD1),1.3,1.5,1.4
